Branch,Location,Longitude,Latitude
춘천한주점,강원도 춘천시 안마산로 219,127.7384279,37.84962455
양양오산비치점,강원도 양양군 손양면 선사유적로 719,128.6604469,38.09000013
남애해수욕장점,강원도 양양군 현남면 매바위길 189,128.7824393,37.94539037
삼척로데오점,강원도 삼척시 대학로 30-2,129.1633681,37.4438459
속초노학대로점,강원도 속초시 관광로 352,128.5402877,38.19188418
신철원점,강원도 철원군 갈말읍 삼부연로 29,127.3110583,38.14582331
동해이도점,강원도 동해시 이원길 116,129.1047802,37.47970224
삼척해변점,강원도 삼척시 테마타운길 19,129.1705159,37.46668893
강릉월대산로점,강원도 강릉시 월대산로 7,128.9111597,37.75933423
원주뉴오크밸리점,강원도 원주시 지정면 오크밸리2길 18,127.8055969,37.40978133
강릉포남미라보점,강원도 강릉시 명륜로 124,128.90295,37.76923656
원주행구로점,강원도 원주시 행구로 133-1,127.9707315,37.34248059
화천점,강원도 화천군 화천읍 상승로 34,127.7039203,38.10407886
속초해변점,강원도 속초시 해오름로 200,128.600862,38.19059877
홍천플러스점,강원도 홍천군 홍천읍 마지기로 14,127.8879116,37.69095308
한림성심대학교점,강원도 춘천시 동면 장학길 48,127.7567007,37.89777868
양양설악대로점,강원도 양양군 강현면 동해대로 3234,128.6224769,38.12807567
강릉교동점,강원도 강릉시 정원로 42,128.8771589,37.76228626
간성으뜸점,강원도 고성군 간성읍 간성로 23,128.4723039,38.37868515
산천어점,강원도 화천군 화천읍 중앙로 31,127.7075139,38.10363736
태백삼수점,강원도 태백시 전나무길 2,128.978011,37.18189546
강릉아산드림점,강원도 강릉시 사천면 방동길 35,128.8561459,37.81695243
강릉성남중앙점,강원도 강릉시 곶감전길 20,128.8976061,37.75158134
속초교동중앙점,강원도 속초시 중앙로 17,128.5791089,38.19849245
속초노학점,강원도 속초시 온천로 135,128.5578189,38.18987412
상노플러스,강원도 철원군 동송읍 북원로 864,127.2433375,38.16333588
봉수대해변,강원도 고성군 죽왕면 봉수대길 10-22,128.5263885,38.32410957
횡성한우로점,강원도 횡성군 횡성읍 한우로 256,127.9831245,37.49099356
김유정역점,강원도 춘천시 신동면 김유정로 1427,127.7159796,37.818613
평릉코아루점,강원도 동해시 평원로 100,129.1140358,37.5319209
춘천학곡점,강원도 춘천시 동내면 영서로 1776,127.7600766,37.83502883
태백용진점,강원도 태백시 번영로 154,128.9866707,37.157593
태장점,강원도 원주시 북원로 2718-1,127.9482192,37.38612262
홍천북방점,강원도 홍천군 북방면 영서로 2702,127.8526412,37.70563756
원주단관토지길점,강원도 원주시 나비허리길 52,127.9582593,37.32357146
포남제일점,강원도 강릉시 성덕포남로182번길 28,128.9115314,37.7692696
고은쉼터점,강원도 춘천시 동내면 동내로 194,127.7727216,37.84974077
태백소도점,강원도 태백시 태백로 1450,129.0010099,37.13508929
홍천동면점,강원도 홍천군 영귀미면 공작산로 518,127.9372133,37.67752779
정선화암점,강원도 정선군 화암면 소금강로 1097,128.7858334,37.33903643
원주문막동보점,강원도 원주시 문막읍 원문로 1578,127.8334452,37.32174048
